tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
408,0,50,22,20,350,345,32,39,29,25789,10418,26,24,0,13,287,748,755,719,730,3027,2994
409,0,50,22,19,350,347,32,38,29,27111,10712,25,25,0,13,287,750,752,725,729,3042,3004
410,0,50,22,19,350,347,32,38,29,28969,10940,25,25,0,13,287,756,751,732,726,3053,3018
411,0,50,22,19,350,347,32,38,30,24918,12326,25,25,0,13,287,762,748,739,724,3063,3033
412,0,50,22,19,349,342,32,39,30,21515,13487,24,26,0,13,287,716,759,713,727,3070,3052
413,0,50,22,18,349,344,32,39,29,17985,14803,24,26,0,13,287,723,757,719,723,3082,3066
414,0,50,22,18,349,344,32,39,29,19292,13829,23,27,0,13,287,726,757,724,720,3095,3080
415,0,50,21,18,351,344,32,39,28,20993,13263,25,25,0,13,287,727,752,732,718,3106,3094
416,0,50,21,18,347,344,33,38,28,22471,12302,26,24,0,13,287,734,749,738,715,3120,3104
417,0,50,21,18,347,344,33,38,28,22381,12772,27,23,0,13,287,712,750,721,720,3134,3113
418,0,50,21,18,347,344,33,38,28,22993,11672,27,23,0,13,287,722,749,724,718,3147,3123
419,0,50,21,18,347,344,33,38,29,23694,11406,23,27,0,13,287,730,747,729,716,3160,3137
420,0,50,21,18,347,344,33,38,29,25744,10749,23,27,0,13,287,730,746,738,714,3176,3148
421,0,50,21,18,347,336,33,40,30,21431,12553,24,26,0,13,287,736,742,745,712,3190,3160
422,0,50,21,18,347,336,33,40,30,19179,13960,25,25,0,13,287,705,748,725,715,3202,3173
423,0,50,21,18,347,336,33,40,29,20395,13355,25,25,0,13,287,707,744,735,711,3219,3181
424,0,50,21,18,347,336,33,40,29,18905,12209,25,25,0,12,288,708,739,745,710,3232,3193
425,0,50,21,18,347,336,33,40,28,21116,11630,23,27,0,12,288,718,737,743,709,3246,3206
426,0,50,21,18,347,335,33,40,28,23157,10942,23,27,0,12,288,721,734,751,704,3261,3218
427,0,50,21,18,347,335,33,40,28,24424,10272,23,27,0,12,288,700,739,714,710,3273,3233
428,0,50,21,18,347,335,33,40,28,26673,9597,22,28,0,12,288,707,737,714,710,3290,3244
429,0,50,21,18,347,335,33,40,29,27062,9324,25,25,0,12,288,713,734,718,707,3301,3258
430,0,50,21,18,347,335,33,40,29,27845,8803,25,25,0,12,288,721,731,722,704,3307,3277
431,0,50,20,18,345,335,34,39,30,22842,10394,25,25,0,12,288,724,727,729,705,3319,3290
432,0,50,20,18,345,335,34,39,30,18580,11740,25,25,0,12,288,698,731,707,707,3330,3304
433,0,50,20,18,345,335,34,39,28,15075,13004,25,25,0,12,288,705,727,708,706,3340,3319
434,0,50,20,18,345,335,34,39,28,18578,12430,26,24,0,12,288,705,726,706,703,3352,3331
435,0,50,20,18,345,335,34,39,26,20226,11828,26,24,0,12,288,710,725,713,699,3362,3345
436,0,50,20,18,345,327,34,40,26,21953,11980,27,23,0,12,288,717,725,718,693,3372,3358
437,0,50,19,17,347,329,34,40,26,22967,11157,28,22,0,12,288,691,728,699,697,3381,3371
438,0,50,19,16,347,331,34,40,26,24064,10287,27,23,0,12,288,696,728,706,696,3393,3382
439,0,50,19,16,347,331,34,40,26,23515,10085,27,23,0,12,288,699,727,711,693,3405,3393
440,0,50,18,16,349,331,34,40,26,24997,10263,28,22,0,12,288,705,727,713,693,3415,3405
441,0,50,18,16,349,331,34,40,26,25383,9741,29,21,0,12,288,711,726,719,692,3423,3418
442,0,50,18,16,341,323,36,42,26,25349,9785,30,20,0,12,288,698,728,672,702,3436,3425
443,0,50,17,16,343,323,36,42,27,27436,9711,28,22,0,12,288,702,726,672,701,3445,3438
444,0,50,17,16,343,323,36,42,27,25642,10032,29,21,0,11,289,709,722,676,700,3456,3448
445,0,50,16,15,345,325,36,42,28,25082,9613,30,20,0,11,289,716,719,675,699,3464,3460
446,0,50,16,14,345,322,36,43,28,27903,9083,30,20,0,11,289,719,717,682,698,3476,3468
447,0,50,16,14,345,322,36,43,29,29311,9325,29,21,0,11,289,704,718,663,700,3490,3475
448,0,50,16,14,345,322,36,43,29,28366,9827,29,21,0,11,289,703,718,671,698,3504,3482
449,0,50,16,14,345,322,36,43,30,22845,11296,30,20,0,11,289,701,717,675,695,3517,3489
450,0,50,16,14,345,322,36,43,30,19484,12223,29,21,0,11,289,704,716,679,692,3527,3500
451,0,50,16,14,341,322,37,43,30,15912,13141,30,20,0,11,289,708,711,686,691,3537,3510
