tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
65,26,24,238,253,124,94,0,0,26,28609,19130,50,0,300,0,0,0,0,0,0,0,0
66,26,24,237,250,126,100,0,0,26,29886,17112,50,0,300,0,0,0,0,0,0,0,0
67,26,24,235,249,130,102,0,0,26,30995,15978,50,0,300,0,0,0,0,0,0,0,0
68,26,24,233,248,134,104,0,0,26,29577,15713,50,0,300,0,0,0,0,0,0,0,0
69,26,24,233,247,134,106,0,0,27,31731,14161,50,0,300,0,0,0,0,0,0,0,0
70,26,24,233,246,134,108,0,0,27,31146,12053,50,0,300,0,0,0,0,0,0,0,0
71,26,24,232,244,136,112,0,0,28,33450,11476,50,0,300,0,0,0,0,0,0,0,0
72,26,24,230,242,140,116,0,0,28,31564,11152,50,0,300,0,0,0,0,0,0,0,0
73,26,24,228,240,144,120,0,0,28,31230,10211,50,0,300,0,0,0,0,0,0,0,0
74,26,24,226,238,148,124,0,0,28,31411,9784,50,0,300,0,0,0,0,0,0,0,0
75,26,24,224,238,152,124,0,0,29,31869,9760,50,0,300,0,0,0,0,0,0,0,0
76,26,24,224,236,152,128,0,0,29,32083,9997,50,0,300,0,0,0,0,0,0,0,0
77,26,24,224,236,152,128,0,0,29,31899,9507,50,0,300,0,0,0,0,0,0,0,0
78,26,24,223,236,154,128,0,0,29,32335,9110,50,0,300,0,0,0,0,0,0,0,0
79,26,24,219,234,162,132,0,0,29,33418,9174,50,0,300,0,0,0,0,0,0,0,0
80,26,24,219,232,162,136,0,0,29,34414,8526,50,0,300,0,0,0,0,0,0,0,0
81,26,24,219,232,162,136,0,0,30,33656,8182,50,0,300,0,0,0,0,0,0,0,0
82,26,24,217,231,166,138,0,0,30,28911,9406,50,0,300,0,0,0,0,0,0,0,0
83,26,24,216,230,168,140,0,0,30,23321,10432,50,0,300,0,0,0,0,0,0,0,0
84,26,24,215,228,170,144,0,0,30,19285,11660,50,0,300,0,0,0,0,0,0,0,0
85,25,25,212,228,176,144,0,0,29,22011,10456,50,0,300,0,0,0,0,0,0,0,0
86,25,25,212,226,176,144,0,1,29,23903,9972,50,0,300,0,0,0,0,0,0,0,0
87,25,25,212,226,176,144,0,1,30,20836,11680,50,0,300,0,0,0,0,0,0,0,0
88,25,25,211,225,178,146,0,1,30,17150,12480,50,0,300,0,0,0,0,0,0,0,0
89,24,26,210,225,180,146,0,1,29,19475,12123,50,0,300,0,0,0,0,0,0,0,0
90,24,26,209,224,182,148,0,1,29,20198,11053,50,0,300,0,0,0,0,0,0,0,0
91,23,27,208,224,184,148,0,1,28,21303,10378,50,0,300,0,0,0,0,0,0,0,0
92,23,27,208,222,184,152,0,1,28,22351,10084,50,0,300,0,0,0,0,0,0,0,0
93,23,27,207,222,186,152,0,1,28,22567,10151,50,0,300,0,0,0,0,0,0,0,0
94,23,27,207,220,186,156,0,1,28,24442,9961,50,0,300,0,0,0,0,0,0,0,0
95,23,27,207,220,186,156,0,1,29,23957,9275,50,0,300,0,0,0,0,0,0,0,0
